PackageID,Product,MetrcQty,CurrentQty,Supplier,Cost,CostPerItem,Synced,OriginalQuantity,MetrcTag,ExternalID,ActivatedAt,MetrcName
7000013132,Stoner's Pod - Margarita - 2g,,,,$120.00 ,$12.00 ,Yes,10,1A40E0100006987000013132,10755867,5/22/2024,Stoner's Pod - Margarita - 2g
7000013131,Stoner's Pod - Grape Soda - 2g,,,,$120.00 ,$12.00 ,Yes,10,1A40E0100006987000013131,10755866,5/22/2024,Stoner's Pod - Grape Soda - 2g
7000013129,Stoner's Pod - Electric Kool Aid - 2g,,,,$120.00 ,$12.00 ,Yes,10,1A40E0100006987000013129,10755864,5/22/2024,Stoner's Pod - Electric Kool Aid - 2g
7000013118,Loud Panda - Banana Taffy - 2g,,,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013118,10755853,5/22/2024,Loud Panda - Banana Taffy - 2g
7000013123,Loud Panda - Juice Box - 2g,,,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013123,10755858,5/22/2024,Loud Panda - Juice Box - 2g
7000013122,Loud Panda - Fruit Snacks - 2g,,,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013122,10755857,5/22/2024,Loud Panda - Fruit Snacks - 2g
7000013120,Loud Panda - Bomb Pop - 2g,,,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013120,10755855,5/22/2024,Loud Panda - Bomb Pop - 2g
7000013128,Stoner's Pod - Cotton Candy - 2g,,,,$120.00 ,$12.00 ,Yes,10,1A40E0100006987000013128,10755863,5/22/2024,Stoner's Pod - Cotton Candy - 2g
7000013121,Loud Panda - Cereal Milk - 2g,,,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013121,10755856,5/22/2024,Loud Panda - Cereal Milk - 2g
7000013125,Loud Panda - Mango Guava - 2g,,1,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013125,10755860,5/22/2024,Loud Panda - Mango Guava - 2g
7000013119,Loud Panda - Blue Razz - 2g,,,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013119,10755854,5/22/2024,Loud Panda - Blue Razz - 2g
7000013117,Jelly's Air - Smurf Berry - 2g,,,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013117,10755852,5/22/2024,Jelly's Air - Smurf Berry - 2g
