SKU,Available,Product,Strain,Price,Cost,Category,Tags,Type,Isretired,Lineage,Distillation,Allergens,Brand,Mastercategory,Netweight,Productgrams,Regulatorycategory,Size,Taxable,THCcontent,UPC,Vendor
79710804,10,TROPICANNA PIE CURED RESIN 2G | CCE,,20,10,BHO,,Quantity,No,,,,,Concentrates,,2g,,,Yes,,,CARTER COUNTY EXTRACTS
46850765,10,DULCE DE UVA LIVE RESIN 2G | CCE,,24,12,BHO,,Quantity,No,,,,,Concentrates,,2g,,,Yes,,,CARTER COUNTY EXTRACTS
19473841,9,CANDY BELTZ LIVE RESIN 2G | CCE,,12,24,BHO,,Quantity,No,,,,,Concentrates,,2g,,,Yes,,,CARTER COUNTY EXTRACTS
07245566,0,FLAMIN CHEETOS | FLOWER | POLLEN NATION,FLAMIN CHEETOS,7,250,Flower,,Weight,No,,,,,Flower,,,,,Yes,,,
94871186,62.4,WEDDING CAKE | FLOWER | POLLEN NATION,WEDDING CAKE,10,250,Flower,,Weight,No,,,,,Flower,,,,,Yes,,,
08586394,23.4,PURPLE PINEAPPLE | FLOWER | POLLEN NATION,PURPLE PINEAPPLE,10,250,Flower,,Weight,No,,,,,Flower,,,,,Yes,,,
42131165,98.4,WET BETTY | FLOWER | POLLEN NATION,WET BETTY,10,250,Flower,,Weight,No,,,,,Flower,,,,,Yes,,,
92547624,279,ASTROGLIDE | FLOWER | POLLEN NATION,ASTROGLIDE,7,0,Flower,,Weight,No,,,,,Flower,,,,,Yes,,,
18504171,64,3.5 G | HUSH PUPPIES | HU$HIES,,20,9,Infused Non-Edible,,Quantity,No,,,,Hu$hie$,Infused Non-Edible,,3.5g,Flower/Bud,,Yes,,,
05770425,62,GRAPE INFUSED | PRE-ROLL | Hu$hie$,Multi Harvest,8,4,Infused Pre-Rolls,Infused Pre-Roll,Quantity,No,,,,Hu$hie$,Concentrates,,1g,Concentrate,,Yes,,,"Banger Willis, LLC"
47757723,0,TRIBE SPLITS - BB MUFFIN,,50,,Disposable Vape,,Quantity,No,,,,,Vape Cartridges,,2g,,,Yes,,,TRIBE EDIBLES
42370256,0,TRIBE SPLITS - EMERALD FIRE OG,,50,,Disposable Vape,,Quantity,No,,,,,Vape Cartridges,,2g,,,Yes,,,
18690696,2,TRIBE SPLITS - GAZZURPLE,,50,,Disposable Vape,,Quantity,No,,,,,Vape Cartridges,,2g,,,Yes,,,
50279705,0,TRIBE SPLITS - PODDY MOUTH,,50,,Disposable Vape,,Quantity,No,,,,,Vape Cartridges,,2g,,,Yes,,,
16331161,0,TRIBE SPLITS - JELLY DONUTS,,50,,Disposable Vape,,Quantity,No,,,,,Vape Cartridges,,2g,,,Yes,,,
89456953,0,TRIBE SPLITS BOOSTER - BLUEBERRY CHILL,,15,,Smokeshop,,Quantity,No,,,,,Smokeshop,,,,,Yes,,,
02274124,0,TRIBE SPLITS BOOSTER - KIWI PASSION,,15,,Smokeshop,,Quantity,No,,,,,Smokeshop,,,,,Yes,,,
55942586,0,TRIBE SPLITS BOOSTER - STRAWBERRY KIWI,,15,,Smokeshop,,Quantity,No,,,,,Smokeshop,,,,,Yes,,,
96586529,48,Hushies Pre-Roll Orange Cream,,8,4,Infused Pre-Rolls,,Quantity,No,,,,Hu$hie$,Concentrates,,1g,,,Yes,,,"Banger Willis, LLC"
15535098,49,Hushies Pre-Roll Pineapple,,8,4,Infused Pre-Rolls,,Quantity,No,,,,,Concentrates,,1g,,,Yes,,,
66482373,17,PEACH PIE | INFUSED PRE-ROLL SESH,,8,,Infused Pre-Rolls,,Quantity,No,,,,,Concentrates,,1g,,,Yes,,,SESH CONFIDENTIAL LLC
31319014,15,BLUE NERDZ,,30,30,Flower,,Quantity,No,,,,,Flower,3.5,3.5g,,,Yes,,,
54950338,16,SKYWALKER OG,,30,30,Flower,,Quantity,No,,,,,Flower,3.5,3.5g,,,Yes,,,
63799168,16,CADILLAC RAINBOW,,30,30,Flower,,Quantity,No,,,,,Flower,,3.5g,,,Yes,,,
34947753,15,DAILY GRAPE,,30,30,Flower,,Quantity,No,,,,,Flower,,3.5g,,,Yes,,,
59240561,15,GRANDPA'S STASH,,30,30,Flower,,Quantity,No,,,,,Flower,,3.5g,,,Yes,,,
62275050,15,SOUR COOKIES,,30,30,Flower,,Quantity,No,,,,,Flower,,3.5g,,,Yes,,,
87391019,15,HOLY WATER,,30,30,Flower,,Quantity,No,,,,,Flower,,3.5g,,,Yes,,,C 3 MEDICAL
